회차,1등총당첨액,2등총당첨액,3등총당첨액,4등총당첨액,5등총당첨액,인당1등당첨액,인당2등당첨액,인당3등당첨액,인당4등당첨액,인당5등당첨액,1등당첨인원수,2등당첨인원수,3등당첨인원수,4등당첨인원수,5등당첨인원수,총판매금액
1,0,143934100,143934000,287695800,401550000,0,143934100,5140500,113400,10000,0,1,28,2537,40155,3681782000
2,2002006800,189733600,189726000,379310400,554800000,2002006800,94866800,1842000,100800,10000,1,2,103,3763,55480,4904274000
3,2000000000,0,163199900,326106000,732560000,2000000000,0,1174100,54900,10000,1,0,139,5940,73256,4729342000
4,0,211191200,211189600,422381700,523820000,0,211191200,7282400,152100,10000,0,1,29,2777,52382,5271464000
5,0,0,253419600,506659500,604340000,0,0,6033800,166500,10000,0,0,42,3043,60434,6277102000
6,6574451700,588892800,588887400,1177782000,1763750000,6574451700,196297600,4267300,87600,10000,1,3,138,13445,176375,15305356000
7,0,433485000,433485000,866499500,2062590000,0,48165000,1605500,65500,10000,0,9,270,13229,206259,12794890000
8,0,789330000,789298800,1577829500,2482420000,0,131555000,2268100,110500,10000,0,6,348,14279,248242,20751450000
9,0,3077826000,3077817600,6154720000,6033750000,0,769456500,8743800,260000,10000,0,4,352,23672,603375,73624020000
10,83595692700,9631962400,9631930800,19198288200,34108460000,6430437900,40813400,856400,27300,10000,13,236,11247,703234,3410846,260856392000
11,23900761500,3983459700,3983438800,7964902000,6128050000,4780152300,362132700,9307100,206800,10000,5,11,428,38515,612805,91925306000
12,16186148400,2697688800,2697502500,5394519000,11150840000,1348845700,99914400,1417500,70200,10000,12,27,1903,76845,1115084,76255508000
13,0,2599855800,2599830000,5197935600,7267510000,0,433309300,5777400,175600,10000,0,6,450,29601,726751,66532136000
14,37500193200,3650175200,3650122700,7299410400,13417560000,9375048300,130363400,2568700,93900,10000,4,28,1421,77736,1341756,99838648000
15,17014245000,2835707200,2835689900,5668609200,8275380000,17014245000,177231700,5571100,144600,10000,1,16,509,39202,827538,73264910000
16,17508584400,2918096400,2918042400,5835992500,8707700000,4377146100,243174700,3385200,123500,10000,4,12,862,47255,870770,75777348000
17,16048473600,2674745100,2674678200,5345141700,9611620000,5349491200,297193900,2342100,86700,10000,3,9,1142,61651,961162,72718152000
18,0,2625259500,2625256800,5248834500,6933230000,0,175017300,3953700,136500,10000,0,15,664,38453,693323,66371660000
19,40722959400,4161899000,4161856700,8322738600,11359910000,40722959400,297278500,5971100,150900,10000,1,14,697,55154,1135991,105957818000
20,19352212800,3225367600,3225304800,6448356200,8274700000,19352212800,230383400,3632100,133900,10000,1,14,888,48158,827470,81056776000
