,2020-12-04,2020-12-03,2020-12-02,2020-12-01,2020-11-30,2020-11-29,2020-11-28,2020-11-27,2020-11-26,2020-11-25,2020-11-24,2020-11-23,2020-11-22,2020-11-21,2020-11-20,2020-11-19,2020-11-18,2020-11-17,2020-11-16,2020-11-15,2020-11-14,2020-11-13,2020-11-12,2020-11-11,2020-11-10,2020-11-09,2020-11-08,2020-11-07,2020-11-06,2020-11-05,2020-11-04,2020-11-03,2020-11-02,2020-11-01,2020-10-31,2020-10-30,2020-10-29,2020-10-28,2020-10-27,2020-10-26,2020-10-25,2020-10-24,2020-10-23,2020-10-22,2020-10-21,2020-10-20,2020-10-19,2020-10-18,2020-10-17,2020-10-16,2020-10-15,2020-10-14,2020-10-13,2020-10-12,2020-10-11,2020-10-10,2020-10-09,2020-10-08,2020-10-07,2020-10-06,2020-10-05,2020-10-04,2020-10-03,2020-10-02,2020-10-01,2020-09-30,2020-09-29,2020-09-28,2020-09-27,2020-09-26,2020-09-25,2020-09-24,2020-09-23,2020-09-22,2020-09-21,2020-09-20,2020-09-19,2020-09-18,2020-09-17,2020-09-16,2020-09-15,2020-09-14,2020-09-13,2020-09-12,2020-09-11,2020-09-10,2020-09-09,2020-09-08,2020-09-07,2020-09-06,2020-09-05,2020-09-04,2020-09-03,2020-09-02,2020-09-01,2020-08-31,2020-08-30,2020-08-29,2020-08-28,2020-08-27,2020-08-26,2020-08-25,2020-08-24,2020-08-23,2020-08-22,2020-08-21,2020-08-20,2020-08-19,2020-08-18,2020-08-17,2020-08-16,2020-08-15,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-08,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-01,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-07-25,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-19,2020-07-18,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-12,2020-07-11,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-05,2020-07-04,2020-07-03,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-28,2020-06-27,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-21,2020-06-20,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-14,2020-06-13,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-5,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-05-30,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-23,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-16,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-09,2020-05-08,2020-05-07,2020-05-06,2020-05-5,2020-05-04,2020-05-03,2020-05-02,2020-05-1,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-04-25,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-18,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11,2020-04-10,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-9,2020-03-8,2020-03-7,2020-03-6,2020-03-5,2020-03-4,2020-03-1
검역,2181,2163,2150,2144,2130,2181,2164,2175,2144,2132,2125,2115,2110,2090,2081,2058,2019,1969,1961,1938,1920,1899,1885,1876,1868,1860,1849,1835,1827,1816,1810,1799,1787,1780,1766,1741,1737,1728,1726,1721,1704,1695,1689,1681,1674,1652,1649,1637,1624,1619,1616,1621,1607,1586,1577,1574,1569,1563,1560,1553,1548,1546,1537,1523,1517,1511,1506,1497,1490,1479,1470,1464,1459,1453,1451,1441,1435,1434,1432,1430,1428,1423,1418,1411,1401,1392,1388,1384,1380,1376,1372,1368,1364,1361,1358,1354,1351,1344,1339,1331,1328,1325,1322,1318,1314,1310,1307,1305,1303,1297,1295,1295,1293,1286,1283,1275,1272,1266,1265,1260,1255,1249,1243,1236,1222,1205,1186,1174,1166,1145,1135,1128,1086,1005,1002,997,978,960,950,943,931,906,886,863,851,833,821,813,809,804,793,777,762,753,735,731,729,724,711,706,690,679,672,668,656,630,630,626,608,597,593,586,577,570,569,568,558,556,550,550,547,545,540,539,537,537,536,534,534,529,529,522,521,519,518,514,511,504,503,501,501,494,490,482,481,481,480,479,476,470,470,467,466,464,462,458,453,450,446,442,439,436,431,430,426,425,423,421,418,414,412,408,397,393,389,382,376,358,352,338,324,310,303,279,264,242,224,217,202,189,168,144,131,101,67,47,34,23,17,16,11,6,4,,,,,,,,,,,,,0
제주,86,84,83,81,80,79,78,76,73,70,67,66,65,65,65,63,63,63,63,62,62,62,61,60,60,60,60,60,60,60,60,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,58,58,58,58,58,56,56,56,53,53,53,52,50,48,48,48,48,48,47,47,47,46,45,39,37,36,34,33,31,28,28,28,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,24,23,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,8,8,7,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0
경남,672,656,643,636,625,605,590,576,537,492,481,478,476,457,446,428,400,391,388,384,381,377,374,370,359,357,353,343,338,325,320,320,319,318,316,315,314,314,311,306,303,301,301,301,301,301,300,299,299,297,297,297,297,297,296,296,296,295,292,292,292,291,291,291,291,291,291,291,290,289,288,287,286,286,285,283,282,281,277,274,271,269,268,265,262,262,261,260,260,257,251,243,240,240,239,236,235,228,216,212,204,199,197,196,187,178,174,171,170,170,170,168,167,167,166,166,166,166,166,166,166,165,161,161,159,159,159,159,158,158,158,158,158,158,156,156,155,155,153,153,151,149,148,148,148,146,145,145,142,140,138,138,137,137,136,134,134,134,134,133,133,133,133,133,133,133,133,132,132,132,132,132,130,127,127,127,127,127,125,124,124,124,123,123,123,123,123,123,123,123,123,123,123,123,123,123,122,121,121,121,121,121,119,119,119,119,118,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,116,116,116,116,115,115,115,115,115,115,115,115,113,112,111,109,108,107,106,100,96,95,94,91,91,90,90,90,89,88,87,87,86,86,86,85,85,85,85,85,84,83,83,83,82,77,74,0.0,0
경북,1740,1731,1720,1715,1704,1700,1689,1684,1681,1679,1676,1667,1663,1657,1649,1639,1631,1615,1612,1598,1596,1596,1596,1595,1595,1594,1593,1591,1591,1590,1590,1588,1588,1587,1587,1587,1587,1586,1581,1581,1578,1578,1578,1578,1577,1575,1573,1571,1571,1571,1571,1570,1570,1569,1568,1568,1568,1568,1567,1567,1567,1566,1562,1560,1556,1551,1545,1543,1539,1533,1530,1524,1522,1516,1512,1511,1506,1502,1497,1491,1489,1488,1487,1485,1483,1481,1478,1478,1475,1475,1473,1472,1468,1468,1464,1455,1453,1450,1449,1448,1444,1444,1443,1437,1435,1431,1425,1420,1417,1414,1412,1412,1412,1411,1411,1411,1411,1410,1410,1410,1409,1405,1405,1404,1403,1402,1401,1399,1398,1397,1396,1396,1396,1396,1395,1395,1395,1394,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1394,1393,1393,1392,1391,1390,1389,1389,1389,1388,1387,1387,1387,1386,1386,1385,1385,1384,1384,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1382,1380,1379,1379,1379,1379,1379,1379,1379,1378,1378,1377,1376,1370,1370,1368,1368,1368,1368,1368,1368,1368,1368,1367,1367,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1365,1365,1365,1364,1364,1364,1364,1363,1363,1361,1361,1359,1358,1356,1352,1348,1342,1337,1333,1330,1327,1320,1317,1316,1314,1310,1309,1304,1302,1300,1298,1287,1285,1283,1274,1262,1257,1256,1254,1243,1203,1190,1178,1169,1164,1157,1153,1147,1143,1135,1117,1107,1081,1049,984,861,0.0,0
전남,432,429,427,426,424,419,400,393,382,373,365,358,353,340,321,307,279,264,248,238,229,216,207,199,198,196,194,190,190,190,190,190,190,188,185,185,184,184,184,181,181,181,179,178,178,177,177,177,177,176,176,176,176,176,176,176,174,173,173,173,173,173,173,170,170,169,169,169,169,168,168,168,167,167,167,167,167,167,167,166,166,166,166,166,165,163,161,160,159,159,156,156,155,149,146,142,137,129,120,108,95,82,81,74,60,53,47,44,42,42,42,42,42,42,42,42,42,41,41,41,41,39,39,38,38,38,38,38,38,38,36,36,36,35,35,35,35,35,33,33,32,32,32,32,32,32,32,32,29,28,27,27,25,25,25,25,25,24,24,23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,12,9,9,9,8,8,8,8,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0
전북,392,378,369,343,334,318,301,292,268,252,244,229,220,208,194,181,179,179,179,178,176,172,172,172,171,171,167,167,167,166,166,166,166,166,166,166,164,163,160,160,160,160,160,158,156,156,156,155,155,155,153,152,152,151,149,149,149,149,149,141,132,129,129,128,128,128,125,125,125,123,120,117,116,115,115,115,115,114,106,106,101,100,99,97,96,96,95,94,91,90,89,87,87,87,87,87,86,86,86,84,82,75,71,67,67,63,58,52,51,44,43,43,42,42,40,40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,38,38,38,38,36,36,35,33,33,32,30,29,29,28,28,27,27,27,27,26,26,25,25,25,24,24,23,23,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,15,15,14,14,13,13,12,10,10,10,10,10,10,10,10,10,10,9,7,7,7,7,7,7,7,7,7,7,7,7,7,0.0,0
충남,960,937,923,915,899,894,881,864,833,817,799,791,782,769,748,733,720,713,704,698,693,682,674,665,658,654,644,635,626,601,578,568,561,550,541,536,533,532,531,530,529,527,522,518,507,507,505,503,503,501,500,500,499,497,495,494,491,491,491,491,491,489,489,488,487,484,479,477,477,475,475,474,473,468,468,468,467,463,457,447,445,442,434,423,417,403,391,383,383,380,378,374,353,346,339,332,323,315,307,298,283,271,262,254,244,237,224,219,216,211,207,202,200,197,196,195,193,193,192,192,192,190,190,190,190,190,190,189,189,189,188,187,187,187,187,187,186,186,185,185,185,185,185,185,185,181,181,180,180,179,173,173,172,172,172,171,168,167,167,167,166,166,163,162,161,161,159,158,156,156,153,152,152,151,151,150,150,150,150,148,148,148,147,146,146,146,146,146,146,146,146,145,145,145,145,145,145,145,144,144,144,144,144,144,144,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,142,142,141,141,141,141,141,141,141,141,141,139,139,139,139,139,139,138,138,137,137,136,135,135,134,133,131,128,127,127,126,124,124,123,120,120,120,119,119,118,118,115,115,115,115,115,114,112,104,102,98,92,90,86,0.0,0
충북,390,385,375,359,327,306,283,259,239,231,228,225,225,225,224,222,218,218,218,215,207,207,206,205,203,201,197,195,195,195,193,193,192,190,189,189,187,187,187,186,184,184,184,184,184,183,181,180,180,180,180,179,179,178,178,178,178,177,176,176,176,175,173,172,172,171,171,170,169,167,167,164,162,160,158,156,155,154,151,151,149,147,147,147,147,146,143,142,141,141,139,135,131,130,129,128,127,122,116,111,110,110,108,98,95,93,90,89,87,86,83,82,82,82,82,82,82,82,81,81,81,80,74,73,73,73,73,73,73,73,73,72,72,72,72,72,71,71,71,71,71,71,70,70,69,68,68,68,66,66,66,66,66,66,64,64,64,65,64,64,63,62,62,62,62,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60,60,60,60,60,60,60,60,60,60,60,60,59,59,59,59,59,59,59,59,56,56,55,55,52,52,52,49,47,47,46,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,41,41,41,39,38,38,37,35,34,33,33,32,31,31,31,28,27,27,27,25,25,24,20,15,12,0.0,0
강원,684,681,673,661,652,644,625,592,583,575,562,516,504,491,476,452,432,427,414,394,375,357,334,328,319,316,305,296,292,285,284,284,283,282,279,279,273,266,252,246,246,246,246,245,243,241,238,237,235,232,232,231,231,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,223,223,223,222,220,219,217,217,217,217,217,217,217,216,216,215,212,212,210,210,210,210,205,202,199,195,193,189,186,184,184,181,167,149,141,135,120,104,95,90,84,82,81,81,78,77,77,77,77,77,77,77,77,75,74,74,74,74,74,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,69,69,69,67,67,67,67,67,67,67,66,65,65,65,65,65,64,64,64,64,63,63,62,62,62,60,60,60,60,60,60,60,59,59,59,59,58,58,58,58,57,57,57,57,57,57,57,56,56,56,56,56,56,55,55,55,55,55,55,55,55,55,55,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,52,51,49,49,49,49,49,49,47,45,45,42,41,39,38,36,36,34,32,31,31,31,30,30,30,30,30,30,30,29,29,29,29,29,29,29,28,28,27,26,25,23,0.0,0
경기,7818,7658,7517,7373,7277,7207,7107,6981,6864,6681,6599,6518,6442,6367,6274,6201,6137,6050,5998,5956,5911,5862,5815,5780,5727,5694,5672,5647,5626,5579,5552,5509,5482,5441,5403,5376,5344,5286,5255,5220,5153,5126,5091,4988,4921,4897,4869,4851,4801,4769,4752,4744,4713,4675,4646,4625,4601,4589,4565,4512,4477,4450,4434,4424,4405,4384,4358,4348,4334,4313,4299,4272,4224,4194,4174,4156,4130,4089,4052,3998,3972,3933,3903,3871,3839,3792,3742,3687,3656,3625,3578,3527,3471,3407,3323,3260,3181,3101,2997,2884,2782,2684,2612,2527,2402,2307,2204,2119,2020,1968,1898,1800,1728,1681,1664,1645,1632,1626,1611,1593,1588,1575,1568,1557,1556,1553,1546,1536,1531,1520,1514,1508,1501,1487,1479,1451,1436,1434,1433,1429,1419,1404,1383,1378,1369,1358,1341,1337,1323,1315,1297,1284,1278,1270,1251,1233,1223,1207,1200,1184,1167,1150,1146,1137,1130,1123,1117,1107,1090,1079,1063,1050,1045,1035,1025,1011,992,976,955,942,934,915,907,894,879,867,852,840,828,815,795,774,768,766,760,754,741,735,735,725,724,721,721,717,714,708,706,698,694,688,684,682,681,681,681,680,678,678,676,676,674,671,668,662,660,659,658,658,656,654,654,650,649,645,639,631,628,624,615,596,590,580,572,562,539,516,499,476,463,448,433,412,401,387,366,351,337,321,309,295,277,262,231,211,200,185,178,175,163,152,141,130,120,110,0.0,0
