,2020-12-04,2020-12-03,2020-12-02,2020-12-01,2020-11-30,2020-11-29,2020-11-28,2020-11-27,2020-11-26,2020-11-25,2020-11-24,2020-11-23,2020-11-22,2020-11-21,2020-11-20,2020-11-19,2020-11-18,2020-11-17,2020-11-16,2020-11-15,2020-11-14,2020-11-13,2020-11-12,2020-11-11,2020-11-10,2020-11-09,2020-11-08,2020-11-07,2020-11-06,2020-11-05,2020-11-04,2020-11-03,2020-11-02,2020-11-01,2020-10-31,2020-10-30,2020-10-29,2020-10-28,2020-10-27,2020-10-26,2020-10-25,2020-10-24,2020-10-23,2020-10-22,2020-10-21,2020-10-20,2020-10-19,2020-10-18,2020-10-17,2020-10-16,2020-10-15,2020-10-14,2020-10-13,2020-10-12,2020-10-11,2020-10-10,2020-10-09,2020-10-08,2020-10-07,2020-10-06,2020-10-05,2020-10-04,2020-10-03,2020-10-02,2020-10-01,2020-09-30,2020-09-29,2020-09-28,2020-09-27,2020-09-26,2020-09-25,2020-09-24,2020-09-23,2020-09-22,2020-09-21,2020-09-20,2020-09-19,2020-09-18,2020-09-17,2020-09-16,2020-09-15,2020-09-14,2020-09-13,2020-09-12,2020-09-11,2020-09-10,2020-09-09,2020-09-08,2020-09-07,2020-09-06,2020-09-05,2020-09-04,2020-09-03,2020-09-02,2020-09-01,2020-08-31,2020-08-30,2020-08-29,2020-08-28,2020-08-27,2020-08-26,2020-08-25,2020-08-24,2020-08-23,2020-08-22,2020-08-21,2020-08-20,2020-08-19,2020-08-18,2020-08-17,2020-08-16,2020-08-15,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-08,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-01,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-07-25,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-19,2020-07-18,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-12,2020-07-11,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-05,2020-07-04,2020-07-03,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-28,2020-06-27,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-21,2020-06-20,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-14,2020-06-13,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-5,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-05-30,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-23,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-16,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-09,2020-05-08,2020-05-07,2020-05-06,2020-05-5,2020-05-04,2020-05-03,2020-05-02,2020-05-1,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-04-25,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-18,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11,2020-04-10,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-9,2020-03-8,2020-03-7,2020-03-6,2020-03-5,2020-03-4,2020-03-1
검역,1638,1632,1627,1623,1618,1640,1619,1591,1588,1584,1579,1563,1558,1556,1553,1549,1547,1541,1534,1530,1527,1520,1513,1502,1501,1499,1495,1493,1489,1477,1475,1472,1470,1470,1467,1463,1461,1456,1456,1448,1448,1447,1440,1439,1438,1434,1434,1434,1433,1427,1424,1422,1420,1418,1416,1413,1407,1405,1405,1401,1391,1389,1389,1389,1386,1385,1382,1378,1377,1373,1372,1371,1366,1357,1355,1353,1351,1341,1328,1322,1316,1313,1312,1312,1308,1295,1290,1287,1283,1283,1282,1282,1271,1270,1270,1267,1266,1265,1262,1255,1249,1243,1230,1228,1227,1225,1207,1195,1166,1162,1158,1158,1144,1133,1123,1111,1075,1070,1064,1021,1013,984,958,920,912,906,886,863,830,815,749,746,743,733,706,698,690,676,676,671,665,658,652,647,643,641,635,622,606,599,592,580,577,575,570,559,548,540,523,515,512,509,497,496,488,483,483,481,479,469,468,466,466,466,464,463,462,455,449,443,442,439,437,435,430,423,421,419,418,416,412,397,391,386,385,381,373,363,349,339,331,329,316,311,290,280,267,260,256,249,242,231,216,210,192,191,182,174,173,155,143,123,120,115,64,61,50,49,10,8,7,5,4,4,4,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0
제주,63,63,63,63,60,60,60,60,60,60,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,56,56,56,55,55,55,55,52,52,52,50,49,47,45,45,45,45,45,45,44,40,35,35,33,30,29,27,27,27,27,27,27,27,27,26,26,26,26,25,25,25,25,25,25,25,24,24,24,23,23,23,23,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,12,12,12,12,13,13,13,12,12,12,8,8,8,8,8,8,8,7,8,7,8,8,8,8,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0
경남,454,444,421,400,388,380,376,371,368,364,360,355,350,342,336,334,322,318,317,317,315,313,312,312,312,304,301,301,301,301,300,299,299,299,299,299,296,295,294,294,294,294,294,292,292,290,288,288,287,287,286,286,286,286,286,286,285,283,283,282,281,281,279,278,276,273,269,266,266,265,261,259,257,255,254,252,250,246,241,239,237,233,227,227,208,208,202,198,194,194,188,181,176,173,171,166,166,166,166,166,166,166,166,166,165,165,165,165,163,161,159,159,159,157,157,157,157,157,157,156,156,155,155,153,153,149,149,148,148,148,146,146,145,145,144,142,142,139,139,134,134,134,134,134,134,133,133,133,131,129,129,129,129,129,129,128,128,128,128,128,128,125,125,124,124,124,124,124,124,124,124,124,124,123,123,123,123,123,123,122,122,122,121,121,121,121,121,121,120,119,119,119,119,119,117,117,117,117,117,115,116,116,116,115,114,113,112,110,108,107,105,105,104,102,101,100,99,98,97,97,97,94,93,91,91,89,89,88,87,85,84,84,82,84,84,84,84,83,82,80,80,80,77,75,71,70,67,67,65,64,63,62,57,51,48,45,42,40,33,29,23,22,20,16,11,11,10,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0
경북,1594,1590,1582,1575,1560,1552,1547,1540,1538,1538,1538,1537,1537,1535,1534,1533,1533,1532,1532,1531,1529,1528,1527,1525,1524,1522,1522,1520,1520,1520,1519,1519,1517,1516,1514,1513,1511,1511,1511,1510,1510,1509,1508,1508,1507,1507,1506,1506,1505,1504,1497,1490,1481,1471,1470,1468,1466,1464,1461,1459,1453,1452,1449,1448,1445,1441,1432,1427,1427,1426,1425,1423,1420,1420,1411,1410,1410,1407,1405,1404,1397,1394,1393,1391,1388,1386,1385,1382,1379,1376,1374,1364,1360,1359,1357,1356,1356,1356,1356,1356,1356,1355,1355,1355,1354,1354,1354,1353,1351,1348,1346,1346,1346,1346,1345,1345,1342,1342,1342,1342,1341,1341,1341,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1338,1338,1338,1336,1336,1335,1335,1335,1335,1334,1333,1333,1333,1333,1333,1332,1330,1330,1330,1330,1330,1329,1328,1328,1328,1328,1328,1328,1327,1321,1321,1321,1320,1320,1319,1317,1316,1313,1313,1313,1313,1312,1312,1312,1310,1310,1309,1304,1303,1302,1301,1298,1297,1296,1295,1294,1293,1291,1287,1286,1285,1281,1278,1276,1272,1271,1261,1257,1254,1253,1245,1237,1231,1230,1228,1220,1215,1206,1198,1190,1186,1173,1165,1154,1149,1147,1133,1119,1114,1109,1104,1097,1091,1079,1072,1064,1057,1046,1037,1044,1035,1029,1020,1013,1004,994,954,934,922,899,881,865,840,822,808,772,732,692,650,601,538,507,469,432,395,340,275,235,209,178,163,138,103,83,69,60,0.0,0.0,0.0,0.0,0.0,0.0,0
전남,266,251,235,216,214,211,198,196,191,191,189,189,189,189,189,185,184,184,182,182,182,180,179,178,175,175,175,175,174,174,174,174,174,174,174,174,174,174,169,169,169,169,169,168,168,167,167,167,166,166,166,166,166,166,166,166,163,158,157,157,156,156,156,156,155,153,149,148,149,140,135,134,129,120,118,115,110,100,93,82,74,58,58,58,54,50,48,47,47,47,47,45,43,43,42,42,42,40,40,39,39,39,39,39,38,35,35,32,32,32,32,32,31,31,29,29,27,26,26,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,23,21,21,21,21,21,21,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,14,13,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,9,9,8,8,8,8,8,8,8,7,7,7,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0
전북,198,189,177,173,173,173,173,173,172,170,170,168,165,165,165,165,164,163,163,163,163,162,162,161,159,157,157,156,155,155,154,152,149,149,149,144,144,143,140,139,139,139,138,134,134,132,129,128,128,127,123,123,119,119,118,117,115,114,114,112,112,112,111,111,107,106,96,95,93,93,93,92,91,89,88,87,85,79,78,76,72,69,69,69,68,68,65,59,55,53,53,50,48,46,41,41,41,41,41,39,39,39,39,38,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,36,36,35,35,34,33,33,32,31,31,30,30,30,27,27,27,24,24,24,24,24,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,16,16,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,11,10,10,10,10,10,11,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0
충남,728,715,700,686,667,662,654,643,639,632,620,617,609,598,590,580,569,559,552,538,537,535,531,523,523,520,516,515,512,510,504,492,490,488,488,488,488,484,484,483,483,483,482,481,479,476,473,472,468,466,464,458,455,455,455,448,446,446,440,435,431,428,428,425,422,417,404,400,393,385,379,369,358,353,348,346,339,335,324,316,296,296,287,275,274,264,252,242,238,232,230,225,217,215,214,205,205,204,201,201,200,197,196,195,192,192,191,191,191,191,189,189,189,189,189,189,188,188,188,187,187,185,185,185,185,185,185,184,183,183,183,182,182,182,179,179,174,170,170,170,169,167,167,165,163,159,159,155,154,153,152,152,151,150,150,150,150,150,150,148,148,148,146,146,144,144,144,144,144,144,144,144,144,144,144,144,143,143,143,143,143,143,143,142,142,142,142,142,142,141,141,141,141,141,141,141,141,141,141,140,140,140,139,139,138,138,136,134,433,133,130,128,128,128,128,128,128,128,127,123,123,123,123,123,123,123,122,123,122,122,119,115,115,114,113,109,108,106,105,106,104,102,102,102,97,95,91,90,83,83,81,78,68,65,56,44,39,39,32,31,16,15,12,10,9,7,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0
충북,218,216,214,209,207,206,203,203,202,202,198,197,196,194,191,191,188,185,184,184,183,182,180,180,179,179,178,178,178,177,176,176,175,175,175,174,172,169,168,168,168,167,165,164,162,161,161,160,160,159,157,157,156,154,154,154,154,154,151,146,144,144,144,144,144,144,143,142,141,141,140,139,137,137,136,133,131,126,123,117,116,114,113,110,109,108,103,103,100,99,94,87,87,85,83,83,83,81,81,80,79,79,79,79,78,78,78,77,73,73,73,73,73,73,71,71,71,71,71,71,71,70,70,70,70,70,70,70,69,67,67,67,67,67,67,66,66,64,64,64,64,63,63,63,63,63,63,63,63,62,62,61,61,61,61,61,60,60,60,60,60,60,57,56,56,56,55,55,55,55,55,55,52,52,52,52,52,49,49,49,49,49,49,49,49,49,49,49,49,46,46,46,46,46,46,45,44,44,44,43,43,43,43,43,43,43,42,42,42,41,41,42,42,42,42,42,41,41,41,40,40,40,40,40,40,40,39,39,38,38,38,37,34,31,31,31,29,28,28,29,29,29,28,27,25,23,23,22,21,21,21,17,14,13,11,9,9,8,6,5,5,5,6,6,5,4,4,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0
강원,448,439,428,423,400,393,382,361,342,326,316,306,301,295,285,282,279,279,273,273,273,268,266,256,253,242,242,242,241,241,234,234,233,233,232,228,228,228,228,224,224,221,220,220,220,220,220,220,220,220,220,220,219,219,219,218,218,217,216,214,212,212,212,212,212,212,212,209,208,208,206,204,203,195,195,194,192,188,183,180,176,175,173,169,165,158,154,145,136,133,127,120,96,92,88,81,81,78,78,78,77,74,74,74,74,74,74,74,72,72,72,72,70,70,68,68,68,68,68,68,68,68,67,67,67,67,67,65,65,64,64,64,62,60,59,59,58,58,58,58,58,58,58,57,57,57,56,56,56,55,55,55,55,55,55,55,55,54,54,53,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,51,51,51,51,51,51,51,51,51,50,50,50,50,49,48,48,48,47,47,47,47,47,46,46,45,45,44,43,42,41,41,41,41,41,42,42,42,42,43,42,40,40,37,37,35,34,32,31,31,31,30,28,28,28,28,27,27,29,28,27,26,26,24,24,23,24,23,23,23,23,23,21,21,20,20,18,15,14,14,13,12,10,9,8,8,7,7,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0
경기,6145,6054,6003,5933,5858,5815,5770,5714,5676,5644,5609,5544,5514,5486,5454,5421,5383,5349,5315,5283,5261,5222,5170,5123,5086,5021,5001,4966,4908,4870,4830,4785,4736,4712,4688,4657,4638,4607,4584,4563,4550,4534,4490,4461,4439,4405,4385,4369,4348,4327,4299,4277,4248,4213,4202,4183,4160,4125,4098,4058,4021,4004,3976,3948,3921,3898,3855,3798,3775,3748,3700,3667,3613,3551,3457,3416,3355,3296,3251,3174,3094,3005,2951,2866,2776,2701,2613,2497,2415,2359,2277,2210,2117,2052,1990,1906,1858,1778,1706,1670,1629,1598,1579,1567,1550,1533,1518,1502,1488,1485,1483,1483,1479,1463,1458,1439,1435,1432,1428,1409,1397,1358,1352,1342,1341,1336,1327,1321,1312,1291,1285,1277,1266,1260,1250,1237,1227,1216,1209,1201,1185,1165,1149,1131,1106,1103,1096,1078,1071,1055,1034,1017,1013,1003,987,967,951,931,888,873,858,814,777,761,758,753,744,741,737,724,720,716,713,710,696,692,691,682,680,680,678,673,665,665,662,660,657,650,648,647,646,646,645,644,643,636,633,631,611,602,600,598,587,583,577,563,559,557,556,548,538,538,525,518,515,510,498,488,486,481,475,470,463,448,441,424,404,398,387,370,361,340,330,322,313,305,292,286,269,237,226,213,208,200,186,181,171,166,160,144,140,131,122,100,97,88,82,79,66,64,59,55,48,40,36,31,27,25,22,0.0,0.0,0.0,0.0,0.0,0.0,0
